,questions,answers,metadata
93,"When testing my norm_histogram function, it prints out ""np.float64(0.005)"" instead of just ""0.005."" I understand that np.float64 is the correct type, but is it okay that my function prints that instead of just the values?",Yes that is okay.,"{'folders': ['hw3'], 'title': 'Homework 3, Problem 1 norm_histogram function', 'timestamp': '2024-09-12T20:02:17Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 120}"
94,"What equation are we supposed to use for sweep_n to calculate j, because this function focuses more of number of bins","<p>Since the <em>compute_j </em>function takes bin width as one of the inputs, you need to calculate bin width for each iteration (i.e., each number of bins between min_bins and max_bins) and use that as input for <em>compute_j.</em></p><p></p>","{'folders': ['hw3'], 'title': 'Hw 3, Problem 1 sweep_n', 'timestamp': '2024-09-12T19:49:38Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 101}"
95,"The readme for the find_dist function in Problem 2 says ""Returns a tuple that contains the distribution selected and the error calculated,"" but a comment in the skeleton function says ""the output is not structured as a tuple."" Which is the correct return type?","Sorry for the discrepancy. I would like to clarify that the comment in the skeleton function is correct. The return statement should have the distribution selected and the error calculated, not structured as a tuple.","{'folders': ['hw3'], 'title': 'find_dist return type', 'timestamp': '2024-09-12T14:28:04Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 2, 'views': 100}"
96,"Hello,<div><br/></div><div>Since IR is going on tomorrow, I myself probably won’t be able to make it and I’m anticipating some others won’t be able to as well. How will attendance work in this case? Will we just be counted absent or can we be excused?</div><div><br/></div><div>Thanks</div>",@58,"{'folders': ['other'], 'title': 'Attendance for tomorrow’s class', 'timestamp': '2024-09-11T00:57:04Z', 'user': '', 'tags': ['other', 'student'], 'likes': 0, 'views': 144}"
97,"VS Code was working fine for problem 1, but as I'm starting problem 2, it says that it is unable to resolve the scipy.stat module and cites the error reportMissingImports. I tried changing the interpreter and this didn't help. How am I supposed to resolve this?","This error means that it cannot find the module <em>scipy. </em>To use the module, you need to install it first. Please refer to the <strong>Installing a module</strong> section in the readme file for more info. If the error persists, feel free to use the TA hours for help.","{'folders': ['hw3'], 'title': 'VS Code error with importing modules', 'timestamp': '2024-09-10T12:47:46Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 126}"
98,does problem 1 also checks up to 4 decimal place? or the whole thing. i am having a slight difference for compute j function.,Your answer will be considered correct even if your last 2-3 digits are different.,"{'folders': ['hw3'], 'title': 'problem 1', 'timestamp': '2024-09-08T17:27:29Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 128}"
99,In the github assignment it says to look at the reference slides to determine how to compute j. I cannot find the historam.pdf file on brightspace. Could anyone help me with the formula? Thanks!,"To find the histogram slides, go to the ""Content"" section at the top of the course page on brightspace. Click on Week 2 on the left pane. You will find a pdf titled ""histograms"" under the Slides section.","{'folders': ['hw3'], 'title': 'reference slides: histogram.pdf page19', 'timestamp': '2024-09-08T01:14:10Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 120}"
100,"<p>Isn't the sum of bin probabilities always equal to 1 and therefore we can ignore the sum of probabilities in this equation for finding J since we are always multiplying by 1?</p><p><img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr805yocih62dr%2F80a09ebbecf09e8afc3a60fa009ad89facbdd31969a3843c0ba8050aceda617c%2Fimage.png""/></p>","The sum of probabilities is 1. But here we are summing the squares of the probabilities, which wont be 1.","{'folders': ['hw3'], 'title': 'compute_j', 'timestamp': '2024-09-07T18:19:02Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 127}"
101,"<p>I tried running Problem1.py to see if my code worked and it returned this traceback:</p><p><img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr805yocih62dr%2F8568b76995f7a2efcd7ba6244c93695cb847c3777b4f75f825190f40526f894b%2Fimage.png""/></p><p>I'm not sure what the issue is since both Problem1.py and input.txt are in the same directory. Should I try an absolute path?</p>",This message is referring to the fact that the input.txt is not in the same folder as your assignment. How did you clone the assignment?,"{'folders': ['hw3'], 'title': 'np.loadtxt(&#34;input.txt&#34;) can&#39;t find file', 'timestamp': '2024-09-07T16:50:12Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 110}"
102,Just finished working on problem 2 and the run time is pretty slow compared to everything we have done in this course so far. Is the slower run time to be expected?,"As long as your algorithm is giving the desired output in a reasonable amount of time, you don't have to worry about run time. As dataset size increases, the run time also increases.","{'folders': ['hw3'], 'title': 'Run time of Problem 2', 'timestamp': '2024-09-07T04:48:54Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 111}"
103,"As per the title, is it fine if all the outputs in hw3 are of the type np.float64?",Yes the numbers can be of type np.float64,"{'folders': ['hw3'], 'title': 'HW3: Outputs are np.float64', 'timestamp': '2024-09-07T00:26:10Z', 'user': 'lqem1i5i59k1xx', 'tags': ['hw3', 'student'], 'likes': 1, 'views': 123}"
104,"<p>Going off of <a href=""/class/lzx14x3vnghp4/post/40"" rel=""noopener noreferrer"" target=""_blank""></a><a href=""/class/lzx14x3vnghp4/post/40"" rel=""noopener noreferrer"" target=""_blank"">@40</a>, I was re-checking my Homework 1 submission and I realized that github automatically set my work to ""contribute to the parent repository"".</p><p></p><p><img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr80639du5x2kc%2Fe677b765821a57eb52140a71c320cce0d00a8097d0c5e63521060af9cd82c401%2Fimage.png""/><br/><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr80639du5x2kc%2Fb72c3f5133e5e8a3d2d4ec30ee97cdb225c07e71aaf56139353b1c87a104b42f%2Fimage.png""/><br/>As you can see, I have timestamps that I submitted last week on the correct day, but it states that the branch is 5 commits ahead of main. How should I go about fixing this? I want to make sure that my assignment receives the correct grade for the work that I did.</p><p></p>",I’m in the same boat here is there a way to fix it? I have this issue for both homeworks and I followed the correct steps from original homework ,"{'folders': ['hw1', 'other'], 'title': 'Incorrect Github Fork', 'timestamp': '2024-09-06T23:27:27Z', 'user': '', 'tags': ['hw1', 'other', 'student'], 'likes': 1, 'views': 109}"
105,"<p><img alt=""Screenshot_2024-09-06_at_7.14.14_PM.jpgNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fllaw25gfd9aej%2Feb4268d537452e68c2a244ae7fc9d5978b1ed22799acf82509fa998063590927%2FScreenshot_2024-09-06_at_7.14.14_PM.jpg""/></p><p>Hi, how do i resolve this error? My other modules work fine, only matplotlib has this error. Thank you</p>",<p>This error means matplotlib is not installed. Can you try running the following in your terminal one more time?</p><pre>pip install matplotlib</pre>,"{'folders': ['hw3'], 'title': 'matplotlib installed but has an error', 'timestamp': '2024-09-06T23:15:31Z', 'user': '', 'tags': ['hw3', 'student'], 'likes': 0, 'views': 111}"
106,Are we allowed to skip class on Tuesday due to IR and still get an attendance? Thank you,Attendance will be taken on days that are not Purdue holidays.,"{'folders': ['logistics'], 'title': 'Class on IR week', 'timestamp': '2024-09-06T21:45:15Z', 'user': '', 'tags': ['logistics', 'student'], 'likes': 2, 'views': 147}"
107,"to have the program run correctly, I understand that I need to copy and paste the testing code at the bottom of my program. For question 2, the testing code includes the statement ""print hist."" Should I include that *in* my code, or completely leave it out? Do we submit our programs with a test case at the bottom?",You don't need to include any testing code in your submission. Just the 2 main functions <code>histogram</code> and <code>combine_birthday_data</code> will suffice.,"{'folders': ['hw2'], 'title': 'submission w/ or w/o test cases?', 'timestamp': '2024-09-06T13:28:40Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 113}"
108,"Here is the proof: <a href=""https://qr.ae/p2YS1i"" rel=""noopener noreferrer"" target=""_blank"">Proof of Integral</a>",<p>Marked as solved</p><p></p>,"{'folders': ['other'], 'title': 'Prof. Kocaoglu asked &#34;How do we solve the integral for Gaussian Distribution = 1?&#34;', 'timestamp': '2024-09-05T21:52:34Z', 'user': 'l8au6lxqxgg1yd', 'tags': ['other', 'student'], 'likes': 0, 'views': 126}"
109,"<p>For Part 2, does it matter in what order the keys of the output dictionary should show when printed? </p><p>For example, does it matter if my output is</p><div><div>{1: [('John', 15, 1985, 39), ('Bob', 5, 1995, 29)], 2: ('Jane', 20, 1989, 35)}<br/>or {2: ('Jane', 20, 1989, 35), 1: [('John', 15, 1985, 39), ('Bob', 5, 1995, 29)]} ?</div></div><div></div><div>I'm having this question because I change the order of tuples in the input lists, the order of keys of output might change.</div>","First, the order of the key, i.e., the month of the person's birthday, will be the same order as the person_to_month. Second, the order of the people (value/tuple) given a key will also be in the same order sa the person_to_month. <br/><br/>For example:<br/>Suppose the person_to_month is [('Bob', 5), ('Alec', 5), ('Charlie', 7)]<br/><br/>The resulted dictionary will be:<br/>{<br/>    5: [('Bob', ......), ('Alice', ......)],<br/>    7: [('Charlie', ......)]<br/>}","{'folders': ['hw2'], 'title': 'HW2 Part 2 Output Dictionary Key Order Question', 'timestamp': '2024-09-05T21:00:05Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 1, 'views': 120}"
110,"<p>Not sure if this can be answered on not, but I'm like really confused on how we are supposed to iterate through each value within 'data' in the dictionary and each value spot within the histogram list we made of 0s. Every time I try doing it it gives me an error saying that the list index is out of range and for some reason it starts off in the middle of the 'data' list rather than the start and then proceeds to just bounce around randomly.</p><p>I just am not sure what I'm doing wrong, I can show code if needed, I'm using for loops for the iterations. Just I have been working on it for a while now and cannot figure it out.</p>","I think it would be a good way to familiarize yourself with the list type in python. Here is a <a href=""https://www.geeksforgeeks.org/iterate-over-a-list-in-python/"" rel=""noopener noreferrer"" target=""_blank"">link</a> to introduce how to iterate through a list. However, as Jacob said, you are free to decide how to iterate the list.","{'folders': ['hw2'], 'title': 'HW 2 Part 1 Question', 'timestamp': '2024-09-05T19:23:01Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 119}"
111,Are we supposed to add in something in the program so that it is able to run the test cases that were given to us in the .py files or will it just automatically know to use them to run the program?,You can run the .py file with the test case and it will run the program automatically.,"{'folders': ['hw2'], 'title': 'Test Cases for HW2', 'timestamp': '2024-09-05T15:57:43Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 120}"
112,"<p>Hi,</p><p></p><p>Apologies if the answer has already been written somewhere, but what are the commenting and code quality standards for this class? Right now, I just have some basic descriptive comments.</p><p></p><p>Thanks</p>","It is good practice to comment your code, but there is no requirement for this class.","{'folders': ['hw2'], 'title': 'Commenting Standards?', 'timestamp': '2024-09-04T12:51:58Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 141}"
113,"So on reviewing my grade and repo for homework 1, it appears I committed changes to a branch called 'master' and not to main. I wasn't sure if homework 1 has been graded yet and if it has been if this would be a valid reason for a regrade request. I have since merged branches but I didn't even notice the different branches until now. ","<p>I understand your concern about Homework 1. Homework grading has not started yet. Grading will begin soon. If you submitted your code on time but missed points due to submission-related technicalities, you are welcome to request a regrade if your points don't reflect what you expected.<br/><br/></p><p>Nevertheless, please ensure that you have filled out the Google form to submit your GitHub ID, as this is the only way we can correctly link your GitHub account to your submission and assign you points correctly.<br/><br/></p><p>Thank you for your patience!</p>","{'folders': ['hw1'], 'title': 'Possible goof with submitting', 'timestamp': '2024-09-04T02:20:26Z', 'user': 'lzndecmigcy4fq', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 126}"
114,"I keep receiving the following message when trying to access the repository after accepting the assignment: ""500 Internal server error. We're sorry, but something went wrong. Try going back to classroom dashboard"". I've gone through and tried the same thing multiple times, to no avail. Any ideas for troubleshooting the same? Thanks!",I think there's an issue with Github right now had similar issue with a different class. May just need to wait until it is back up.,"{'folders': ['hw2'], 'title': 'Unable to accept HW2', 'timestamp': '2024-09-03T18:02:33Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 4, 'views': 133}"
115,"<p><img alt="""" height=""1323"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au6dbfiwz10y%2F4ad33cfc78bb9236c6dea88fa033f3bb28abab5e2df7c3456f5487e24f77a3b7%2FScreenshot_2024-09-03_132402.png"" width=""2239""/></p><p></p><p>I am connected to the VPN and logged into eceprog, but I am unable to test the python file. Could you please tell me if I'm doing something wrong and how to fix it?</p>",Use python3 filename.py. ie python3 homework2.py,"{'folders': ['hw2'], 'title': '&#34;Permission Denied&#34; Error', 'timestamp': '2024-09-03T17:27:17Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 119}"
116,Going through the histogram section for hw 2 I’ve run into an issue where when calculating the limits of the bin Ill get an extra small decimal attached to it<div>Example: </div><div><br/></div><div>Min_val = -1</div><div>W =2.2</div><div>Min_val + W = 1.200000000000000002</div><div><br/></div><div>And as a result 1.2 is included when it should be a part of the next bin.</div><div><br/></div><div>Any tips on how I can prevent this?</div>,"I am not sure what precision the test cases are in but you probably could get away with solving this problem using the round() function. It takes the value you are rounding and a precision modifier so you can round it out to a large number of decimal points, but for this application, I think you can manage with like 5 or 6 decimal points of precision but floats can technically go to 17(?) or somewhere about. Because all our inputs are in integers for this problem rounding these values in this way shouldn't impact the outcome.","{'folders': ['hw2'], 'title': 'Problem with Float Addition (hw 2)', 'timestamp': '2024-09-03T16:47:17Z', 'user': 'ktnb6c7elcf740', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 115}"
117,,"<p>As stated in the readme, the age will only account for the year. The age would be current year (2024) - people's year. </p><p><br/><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fjc6jsfzirna1eu%2F9aaebba9360219fd644f26819646210c3ce52befcc80c85281ae9d6590ff3ba7%2Fimage.png""/></p>","{'folders': ['hw2'], 'title': 'When calculating age do we need to account for today&#39;s exact date? Thanks.', 'timestamp': '2024-09-02T19:46:42Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 3, 'views': 130}"
118,"Do we have classes tomorrow, Labor Day?",Yes it’s closed. No classes tomorrow,"{'folders': ['other'], 'title': 'Is Purdue closed tomorrow, Labor Day?', 'timestamp': '2024-09-02T00:07:33Z', 'user': '', 'tags': ['other', 'student'], 'likes': 0, 'views': 135}"
119,When will homework 1 grades be posted? ,"We are still discussing the final procedure for grading and re-grading. We expect to put out the final procedure by the end of next (or this) week. <br/><br/>Here is the tentative schedule for grading and regrading policies (we might change it later, please stay tuned for brightspace and piazza):<br/><br/>After the homework is due:<br/>0-1 week: grading<br/>1-2 week: re-grade request from students<br/>2-3 week: regrading<br/><br/>So, it would be a 3-week cycle, which, after the homework is due, we will grade them within a week (due to the late submission policy), then students can have another week to review the solution and submit regrade request if you have any doubts. Then, in the following week, we will handle all the re-grading requests within the week. ","{'folders': ['hw1'], 'title': 'HW1 Grades', 'timestamp': '2024-09-01T17:04:13Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 155}"
120,Github asks if I am planning to use my fork to contribute to the parent project or for my own purposes. Which one of these options should I choose for the homework?,"When you click the link to create a repository for the homework, that is the repository we grade. So use the one with your Purdue ID.","{'folders': ['other', 'hw2'], 'title': 'Github Question', 'timestamp': '2024-09-01T14:19:15Z', 'user': '', 'tags': ['hw2', 'other', 'student'], 'likes': 0, 'views': 128}"
121,Are we allowed to use try/except blocks?,yes ,"{'folders': ['hw2'], 'title': 'Try/Except', 'timestamp': '2024-08-31T21:38:13Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 120}"
122,"I see all the people are in the same order in each dict in input, is this always the case?","No, you should assume people will have different names and will appear in random orders.","{'folders': ['hw2'], 'title': 'problem 2 assumption', 'timestamp': '2024-08-30T22:00:00Z', 'user': 'jc6jsfzirna1eu', 'tags': ['hw2', 'student'], 'likes': 1, 'views': 127}"
123,For the provided .py files in the repository (which to my understanding were different than the test cases in the read me)  is there anywhere we can see if we get the expected output?,"<p>The readme just provided some examples. The test files provided more cases to test.</p><p></p><p>For the histogram, you could use your understanding to calculate the expected output yourself as there are just few numbers. Or you could use some library functions to further double check. For example, you can view some library function in <a href=""https://www.geeksforgeeks.org/plotting-histogram-in-python-using-matplotlib/"" rel=""noopener noreferrer"" target=""_blank"">here</a>. <br/><br/>In the birthday case, the expected output is provided in the comments in the test case files. </p>","{'folders': ['hw2'], 'title': 'HW2 test case files', 'timestamp': '2024-08-30T21:18:24Z', 'user': '', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 116}"
124,Can we use GitHub Desktop to push and commit our submission file?,Yes you can.,"{'folders': ['hw1'], 'title': 'Using GitHub Desktop to Submit', 'timestamp': '2024-08-30T20:37:26Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 98}"
125,"I've been trying for a while to learn how to use git to push my file and went through several tutorials, and the only time I got close, it said something about comparing and making a pull request. When I clicked that, it took me to the code but didn't show any options. I also edited the problems.py file to have my code, so that should still be visible. I'm just not sure how to push properly.","I am not sure what did you do specifically as I cannot see your actual files/error message. But, in general, you should always use ""git status"" to make sure that your local matches with the git repository before making any changes to local. Then, after making sure the local sync with git, then you should do add and push. <br/><br/>Follow this <a href=""https://github.com/git-guides/git-status"" rel=""noopener noreferrer"" target=""_blank"">GitHub webpage</a> for more information. You may need to do a force push, but be careful with this force push operation. It may flush the changes you made on git. For more information, follow this <a href=""https://stackoverflow.com/questions/5509543/how-do-i-properly-force-a-git-push"" rel=""noopener noreferrer"" target=""_blank"">page</a>. If you are not clear about the operations, you could join the office hour today for more help : )","{'folders': ['hw1'], 'title': 'Git Pushed File not Showing', 'timestamp': '2024-08-30T20:26:26Z', 'user': 'm013fhxlz6a75q', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 94}"
126,I edited the file in GITHUB and commited it from there. Does that work for a submission or do I need to do all the push stuff. When I look at my code in GITHUB its correct and done. I was just wondering if that works or not.,"As long as you can see your changes and they are committed successfully, it works.","{'folders': ['hw1'], 'title': 'Git question', 'timestamp': '2024-08-30T18:49:58Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 93}"
127,"<p>EDIT: Never mind. I now notice that the first bin's lower bound is NOT inclusive. I misunderstood.<br/><br/>Below is a test case that is posted on the README. I am confused on why hist[0] is 0 and not 1 in this case. So we would end up switching max and min val since min &gt; max.<br/><br/>Then for hist[0] that would give us a lower bound of 0 and upper bound of 1 for that bin (since bin width would be 1). And since 0 is in this dataset why is it not counted in the first bin of the histogram?<br/><br/>Also if you add up all of the frequencies in each bin you only get 7, but there are 8 valid values. <br/><br/><img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktnb58hevai12h%2F2b6ebcaa1b5760658158d4c7bb94a2d7cc98fd50992fcb56411d555fc7c777b5%2Fimage.png""/></p><p><br/><br/>EDIT: Never mind. I now notice that the first bin's lower bound is NOT inclusive. I misunderstood.</p>",Marked as solved. ,"{'folders': ['hw2'], 'title': 'HW2 test cases', 'timestamp': '2024-08-30T17:07:20Z', 'user': 'ktnb58hevai12h', 'tags': ['hw2', 'student'], 'likes': 0, 'views': 112}"
128,Is the grade on our homework assignments based solely on the test cases shown inside of the given file or are there also hidden test cases that are looking to break the program like in CS 159?,There will be more test cases when grading. ,"{'folders': ['hw1'], 'title': 'Test Cases for Homework 1', 'timestamp': '2024-08-29T21:04:18Z', 'user': 'lx92gseaaah5dy', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 126}"
129,"Is there a limit for the run time of our programs? For example, if a task could be completed within O(n), would we be penalized if our programs complete the task in O(n^3)?",In ECE asymptotic complexities are taught in ECE36800 which is not a pre/corequisite to this course. I think that as long as your program runs to completion in under a few minutes you will not encounter any issues.,"{'folders': ['hw1', 'other'], 'title': 'Is there a time limit for homework?', 'timestamp': '2024-08-29T18:52:18Z', 'user': '', 'tags': ['hw1', 'other', 'student'], 'likes': 0, 'views': 135}"
130,Will there be practice exams posted for us to study with?,"<p>Here a few past practice/real exams I found:<br/><a href=""https://engineering.purdue.edu/~milind/ece20875/2019fall/midterm1-sol.pdf"" rel=""noopener noreferrer"" target=""_blank"">https://engineering.purdue.edu/~milind/ece20875/2019fall/midterm1-sol.pdf</a></p><p><a href=""https://www.davidinouye.com/course/ece20875-spring-2021/docs/Exam_1_practice.pdf"" rel=""noopener noreferrer"" target=""_blank"">https://www.davidinouye.com/course/ece20875-spring-2021/docs/Exam_1_practice.pdf</a></p>","{'folders': ['exam'], 'title': 'Practice Exams', 'timestamp': '2024-08-29T16:45:19Z', 'user': 'll2hlufiw3sv7', 'tags': ['exam', 'student'], 'likes': 5, 'views': 145}"
131,"For the second problem on homework two, I simply just created my own list containing the triangular numbers given by the provided link on the homework. I was just wondering if that is an ok way of doing it or if there is another way that it needs to be done to receive full points.","When the final homework is submitted, your program will likely be put through multiple test scenarios that weren't in the file, which could ask for anything, even triangle numbers up to 10,000. Hardcoding the answers will almost certainly fail those tests. Also, it goes against the point of the exercise, so it might be marked down anyways.","{'folders': ['hw1'], 'title': 'Can we import own list', 'timestamp': '2024-08-29T15:37:27Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 128}"
132,"<p><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fllaz1ocvot91yv%2Fb68bafc04b701e6121e0170a078835eb7cf5b201b575c44f54b6c14624aa459d%2Fimage.png""/></p><p>when I run my program, I got this result. How can I make the elements are shown as integers like the example?</p><p></p>","As mentioned in the README this link will give you useful information about typecasting. <a href=""https://www.w3schools.com/python/python_casting.asp"" rel=""noopener noreferrer"" target=""_blank"">https://www.w3schools.com/python/python_casting.asp</a>","{'folders': ['hw1'], 'title': 'HW2 list element&#39;s type', 'timestamp': '2024-08-28T21:30:15Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 137}"
133,"Hello, I am trying to test the cases on Homework 1 using Visual Studio, but when I hit ""run"", I am told that ""null"" is not defined, yet I never used the word ""null"" in any of my code. This is the message:<br/>""Traceback (most recent call last):<br/>  File ""c:\Users\AJ\OneDrive - purdue.edu\Desktop\Homework 1.ipynb"", line 5, in &lt;module&gt;<br/>    ""execution_count"": null,<br/>                       ^^^^<br/>NameError: name 'null' is not defined<br/>PS C:\Users\AJ\OneDrive - purdue.edu\Desktop&gt;""<br/><br/>If someone could help, that would be great. Thank you.",I think this happens when there's an empty cell in the jupyter notebook. Try deleting the empty cell and running again,"{'folders': ['hw1'], 'title': 'Trying to Run Homework 1, &#34;null&#34; is not Defined', 'timestamp': '2024-08-28T14:20:36Z', 'user': 'm013fhxlz6a75q', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 139}"
134,"Just to confirm how github is meant to be used, once we have added, committed and pushed the final version of the code, is that it?<div><br/></div><div>Are there any further steps to be taken?</div>","Yes, just make sure to double-check that your responses are accurately reflected in your repository when you open it in your browser.","{'folders': ['hw1'], 'title': 'Git Question', 'timestamp': '2024-08-27T19:02:15Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 153}"
135,"For homework 1, can we import the math library? Will this be penalized?","I think the rule of thumb is that you would want to avoid importing any libraries that need to ""pip/conda install"" unless there are clear instructions in the handout. The reason is that the grading system might not have such libraries installed, which might cause your program to fail. ","{'folders': ['hw1'], 'title': 'Importing different libraries?', 'timestamp': '2024-08-26T21:12:20Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 147}"
136,"<p><img alt="""" height=""126"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fm0b7srqdbj6487%2F6a157e84513a8f2440e236f12d90f255b4e81b9b95607ee0526ca89959703bfa%2FScreenshot_2024-08-26_at_12.33.47_PM.png"" width=""1356""/></p><p>Hello, <br/><br/>I was wondering if this message meant I did something incorrectly, I didn't see this in this in the video for Git and I wanted to confirm if I had done the git steps correctly. My code from VSC updated correctly in the repository so I just wanted to make sure this was correct. </p>",Make sure you are committing only to the main branch of your own forked repository. The above message only shows what changes have been made/committed since from only version of the repository. You don't have to Contribute or Sync fork. This message above can be ignored.,"{'folders': ['hw1'], 'title': 'Github Message - This Branch is one commit ahead of main', 'timestamp': '2024-08-26T16:36:43Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 149}"
137,"<p>I took a look online to look at why my code for problem 1 wasn't giving me the result I was looking for and stack Overflow had a pretty simple fix for my issue.</p><p>I have used stack for personal projects in the past and I was just wondering if consulting it was acceptable or it would be preferred to not look at it at all?</p><p></p><p>If anybody knows the answer, let me know</p>","I think, for homework, you could search for relevant information online. However, you cannot directly ""copy and paste"" the exact code/solution, which will be considered plagiarism. The better way is to understand the logic behind any material and then write down the code/solution yourself. ","{'folders': ['hw1'], 'title': 'Can we consult stack?', 'timestamp': '2024-08-26T02:30:23Z', 'user': 'm02vbtvh4t51y2', 'tags': ['hw1', 'student'], 'likes': 1, 'views': 148}"
138,I would like to ask if the date of the final exam has been determined?,"As per the Office of the Registrar ""The final exam schedule will be available in late September for the fall term."" ","{'folders': ['exam'], 'title': 'Date of final exam', 'timestamp': '2024-08-25T03:01:45Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 166}"
139,If we wanted to solve a problem recursively and integrate an additional function into the program as long as the correct solution comes out of the problem function it would be ok right?,almost certainly would be alright. I used a helper function. As long as “python3 problems.py” produces the correct output I can’t think of any issues. Confirm with the instructor though ,"{'folders': ['hw1'], 'title': 'Homework 1 question', 'timestamp': '2024-08-25T00:55:16Z', 'user': 'lzndecmigcy4fq', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 161}"
140,I do not need to push my virtual environment to github right?,"Yes, that is correct. Homework assignments will specify what files should be included in your submission in the “What you need to submit” section on the README. You should not need to push anything other than the specified files.","{'folders': ['hw1'], 'title': 'Virtual environment', 'timestamp': '2024-08-24T01:16:28Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 0, 'views': 154}"
141,"<p>Hello,</p><p></p><p>It was mentioned during yesterday's class that today the first homework would appear available. I saw that the links would be available through bright space and piazza. I was just wondering if it's already been released or not? Just wanted to double check to make sure I'm not missing anything.</p>",See @13,"{'folders': ['hw1'], 'title': 'Accessing First Homework', 'timestamp': '2024-08-23T14:05:58Z', 'user': '', 'tags': ['hw1', 'student'], 'likes': 5, 'views': 179}"
142,"When trying to access Jupyter Hub through RCAC, it says you can log in using your Purdue Login, but when I use my information it says that it is invalid. Is there a different login I should be using? ","Not the answer you are looking for, but I would suggest using <a href=""https://code.visualstudio.com/"" rel=""noopener noreferrer"" target=""_blank"">VSC (Visual Studio Code)</a> as your code editor because it supports a lot of languages, has tons of features, is very customizable, and easy to use.","{'folders': ['other'], 'title': 'Accessing Jupyter Hub', 'timestamp': '2024-08-22T19:01:01Z', 'user': '', 'tags': ['other', 'student'], 'likes': 0, 'views': 167}"
143,"The syllabus says that, for programming assignments, all programs should run correctly in the versions of Python available on the Scholar cluster. How do I make sure my programs are in a correct Python version?","Probably just make sure its Python 3 rather than Python 2. Beyond that, some libraries struggle using some specific versions (i.e. 3.12). To check you python version locally, use some variant of ""python --version"" in the terminal or shell.","{'folders': ['other'], 'title': 'Python Version', 'timestamp': '2024-08-22T15:04:40Z', 'user': '', 'tags': ['other', 'student'], 'likes': 0, 'views': 168}"
